"50,341.07",183.66,3,"2,009.41",0.05,"1,048.78","1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
50341.07,183.66,3,2009.41,0.05,1048.78,"1,02.68",5,"5,08.50",50.02,248.05
