47582.86, 103.84, 3.00, 9710.26, 96.77, 886.97, 891.59, 5.00, 10090.27, 51.99, 270.78
52609.16, 2401.97, 3.00, 5010.94, 73.80, 764.92, 762.69, 5.00, 9767.47, 51.64, 272.21
58105.25, 4063.95, 3.00, 9425.66, 53.21, 1067.07, 1051.75, 5.00, 5469.81, 51.31, 257.93
57973.38, 3737.24, 3.00, 6165.74, 70.45, 908.21, 910.14, 5.00, 14221.29, 51.41, 271.18
57592.70, 4095.53, 3.00, 2741.60, 120.13, 812.65, 801.18, 5.00, 10687.17, 53.00, 277.18
51591.09, 2042.51, 3.00, 4408.19, 59.13, 749.24, 746.96, 5.00, 16486.11, 50.11, 271.25
52771.71, 715.67, 3.00, 6688.45, 4.82, 1000.12, 1006.07, 5.00, 12473.69, 52.31, 252.08
64491.74, 3802.08, 3.00, 3506.63, 29.20, 809.46, 801.89, 5.00, 16371.23, 51.73, 260.71
61442.91, 954.88, 3.00, 6783.55, 36.53, 798.21, 789.53, 5.00, 15201.03, 52.27, 260.82
64505.81, 4346.18, 3.00, 4771.71, 129.43, 918.56, 918.66, 5.00, 14533.91, 51.71, 272.91
